CC AB,STD AB,CC AC,STD AC,CC BC,STD BC,F1,F2,F3,MoF1,MoF2,MoF3,BiF1,BiF2,BiF3,BiF12,BiF23,BiF31,Mo,Bi,Ti,BC A,STD A,BC B,STD B,BC C,STD C,InA,OutA,InB,OutB,InC,OutC,RN,PInA,NInA,PInB,NInB,PInC,NInC,Mean Connectivity,In Degree of TT,MaxCC,F1/F2
-0.5321014212450698,0.0025287356234247,-0.5344043681265519,0.0077154915678949,-0.1504236799188211,0.0046768013841121,0.6587753535095016,0.3259805489794612,0.0152440975110371,6081,2949,93,6857,883,0,4811,110,92,9123,12753,62516,0.4778853926669915,0.0037665693270655,0.524997320637851,0.0014969629785934,0.5983321951801122,0.0018454652425679,2.0,4.0,4.0,3.0,3.0,3.0,RN001,0,2,2,2,1,2,5N & E:2N,9.0,-0.1504236799188211,2.020903871632563
-0.447271391163716,0.0021674825332722,-0.1724361705742771,0.0092361879373622,-0.5626115801048024,0.009007360844395,0.5815159612677068,0.386863201448151,0.0316208372841421,10777,5955,356,3765,787,0,3653,105,133,17088,8443,69606,0.4257285879049259,0.0057640579562866,0.4687216434875149,0.0020574685498859,0.3864663145714726,0.0044488538497957,2.0,4.0,2.0,3.0,4.0,3.0,RN002,0,2,0,2,1,3,5N & E:2N,8.0,-0.1724361705742771,1.5031565656565655
-0.564138622424165,0.0062654088647713,-0.4617689632378542,0.0025378644506435,-0.15137487581798,0.0119581695124547,0.4731261906325954,0.4812323457925507,0.0456414635748538,9268,6644,310,2734,825,0,3721,156,182,16222,7618,76115,0.4609209632897129,0.0027375998763956,0.4070961224790155,0.0073775337253375,0.4296234113253541,0.0087473943977651,2.0,3.0,3.0,3.0,5.0,4.0,RN003,0,2,0,3,1,4,5N & E:2N,10.0,-0.15137487581798,0.9831554232984795
-0.2842903434022291,0.0079745582754819,-0.6037084674343477,0.0016526631891745,-0.2679629359407603,0.0078398540462728,0.5860568838195511,0.3855560429918842,0.0283870731885647,7998,4987,246,4802,1543,0,5044,228,225,13231,11842,54708,0.5764987168718726,0.0101918133044733,0.2862055414562577,0.0028123883538177,0.4630425888510232,0.0029579359075768,3.0,3.0,3.0,3.0,2.0,3.0,RN004,1,2,1,2,0,2,5N & E:2N,8.0,-0.2679629359407603,1.520030341819561
-0.1678575325036514,0.0046865742790224,-0.3977965507267684,0.0025648719203361,-0.5361053626055899,0.0017204442283165,0.5115674984005119,0.4393730006397953,0.0490595009596929,9527,5986,394,2722,829,0,4162,210,258,15907,8181,78150,0.3716303235572455,0.002944420791238,0.5045612026111655,0.0048943051120643,0.3764673043287213,0.0072380755381228,3.0,3.0,3.0,3.0,4.0,3.0,RN005,1,2,0,3,1,3,5N & E:2N,10.0,-0.1678575325036514,1.1643125491452369
-0.3484674306682964,0.0082073406175867,-0.3074398084871361,0.0010152625720604,-0.5618511750002949,0.0042162299046087,0.6506575413325906,0.3295266896126375,0.0198157690547719,11504,5035,158,4959,751,0,4341,100,163,16697,10314,50263,0.3936802310289185,0.002486389802918,0.4932221795502749,0.0062475090597176,0.4458035098843296,0.0043651183249269,2.0,4.0,4.0,3.0,3.0,3.0,RN006,0,2,1,3,0,3,5N & E:2N,9.0,-0.3074398084871361,1.9745215238785248
-0.4792084782035381,0.0090202541969902,-0.2846961731199651,0.0067224734183655,-0.345945420192113,0.0160887235478783,0.5705179894789387,0.3808317014168874,0.0486503091041738,11030,5074,485,3064,564,0,3617,184,350,16589,7779,78129,0.4111396490042134,0.0043100213871804,0.4681019718082686,0.003822753644289,0.4426710388488304,0.006863537248099,3.0,3.0,3.0,3.0,2.0,4.0,RN007,1,2,1,2,0,2,5N & E:2N,8.0,-0.2846961731199651,1.49808429118774
-0.6552787317164869,0.0100990715575103,-0.1882701598879786,0.012610600041595,-0.2933829193128432,0.0079225519664419,0.6059088713572693,0.3549991949766543,0.0390919336660763,11412,5094,310,4151,610,0,4151,139,263,16816,9314,62110,0.451803244014498,0.001607667001296,0.4847942481987553,0.0037344105777531,0.4039568039075153,0.0087800083605819,3.0,3.0,3.0,3.0,2.0,3.0,RN008,1,2,1,2,0,2,5N & E:2N,8.0,-0.1882701598879786,1.706789423556624
-0.6264634933466376,0.0076018228405852,-0.4528749698478734,0.0083136171531505,-0.0428465329918055,0.0095308536930705,0.5280971797006165,0.4291398016337702,0.0427630186656132,11516,5848,309,3168,685,0,3200,144,222,17673,7419,70879,0.4751770163393544,0.0008924557874741,0.4106265291383804,0.0022008181296384,0.3454320729689963,0.0043339091282249,2.0,3.0,4.0,3.0,4.0,3.0,RN009,0,2,0,4,0,4,5N & E:2N,10.0,-0.0428465329918055,1.2305947332084033
-0.0649852031007508,0.0044613456116751,-0.4927534394999129,0.0073247096523369,-0.576385333831847,0.0090596688856564,0.5832524968234667,0.3809380678480182,0.035809435328515,9371,4245,253,4309,750,0,4784,149,251,13869,10243,73193,0.4516066138025916,0.0091126414651292,0.3705743296753294,0.0080566730183116,0.5536315669313846,0.0049866853085945,2.0,3.0,4.0,3.0,3.0,4.0,RN010,0,2,2,2,1,2,5N & E:2N,9.0,-0.0649852031007508,1.5310953303206372
-0.5466666918198043,0.0060534202736068,-0.2091345809406712,0.0040854047226763,-0.2886130529259098,0.0113622848378067,0.5253447377799709,0.4123009019382076,0.0623543602818214,10325,5875,439,2692,862,0,3400,239,372,16639,7565,72954,0.4866775733093613,0.0038133238040595,0.4078958900512798,0.0024495116920147,0.3238888177462506,0.0050580711163888,3.0,4.0,3.0,3.0,5.0,3.0,RN011,1,2,1,2,0,5,5N & E:2N,11.0,-0.2091345809406712,1.2741779979387613
-0.3106986993800108,0.0078673713840361,-0.4972321228493513,0.0069169973115355,-0.3423379127837154,0.0113032092004764,0.5982592762253779,0.3663800697699003,0.0353606540047218,11257,7366,590,3764,852,0,2988,116,144,19213,7864,56758,0.430554793291685,0.0158567451395152,0.3050894570331653,0.0026202768961712,0.480914300755568,0.0070542259201363,2.0,3.0,3.0,3.0,2.0,4.0,RN012,0,2,1,2,0,2,5N & E:2N,7.0,-0.3106986993800108,1.6328925222409232
-0.3927136867659335,0.0079369647568607,-0.4793457804422055,0.0055165447491301,-0.1025769672720347,0.01223463841029,0.5059595702752527,0.4280242832623482,0.066016146462399,11292,7866,1130,1834,777,0,2640,239,337,20288,5827,62924,0.3605841537403746,0.0083244594706986,0.3503791979543136,0.0066861795005487,0.4238867618967086,0.0036097611660885,3.0,3.0,3.0,3.0,3.0,3.0,RN013,0,3,0,3,0,3,5N & E:2N,9.0,-0.1025769672720347,1.1820814614042254
-0.1295057374806771,0.0008412006780133,-0.3849033632563376,0.0016303633126952,-0.6443361563483009,0.0071277710513445,0.6241179747462243,0.3462645456796236,0.029617479574152,9393,4207,209,4224,600,0,3807,123,123,13809,8877,64624,0.406008290776894,0.0090281164003496,0.4571330422746567,0.0061749903582709,0.4787474956303726,0.0034133141745271,2.0,3.0,4.0,3.0,2.0,3.0,RN014,0,2,1,3,0,2,5N & E:2N,8.0,-0.1295057374806771,1.8024310676140682
