RN,CC AB,STD AB,F1,M,B1,B2,B3,Mo,Bi,Ti,BiC A,STD A,BiC B,STD B,inA,OutA,inB,OutB,Mean Connectivity,Order,BiSt,MoSt,B:M,inTS,InABR,BCABR
RN014,-0.7368748332760825,0.0033522213699233,0.7696934538348803,0.8215348007138608,0.7442366246193998,0.0,0.2557633753806003,20172,2299,98256,0.75148365079149,0.004106303269407,0.3683334525756783,0.0061435209959145,1,2,3,2,E:2N,5N,0.09358420390526719,0.9064157960947328,0.905910040539617,4,-1.5849625007211563,1.0287292865102151
RN015,-0.8255675502507144,0.0024058227444439,0.8955588368923216,0.8841187863137508,0.8543689320388349,0.0,0.14563106796116504,24784,5150,35216,0.8002997318405095,0.0024299684353082,0.6048878814237821,0.0026452910274447,1,2,2,2,E:2N,5N,0.16722408026755853,0.8327759197324415,0.9663508402542207,3,-1.0,0.4038726683946146
RN016,-0.8213368415123784,0.0005611036049126,0.8910858730288422,0.8814598663621754,0.8677103718199609,0.0,0.13228962818003914,23646,5110,36717,0.7954186591107155,0.004376621179867,0.5944445495065723,0.0013644966709195,1,3,2,2,E:2N,5N,0.17541638643826404,0.8245836135617359,0.9844014514251689,3,-1.0,0.42017216566570614
RN017,-0.8359842849591456,0.0028796512841522,0.8790374757378191,0.8919109543751378,0.8320994965946106,0.0,0.1679005034053894,22685,6754,40186,0.8034656564980086,0.0049608388795235,0.4732731199627036,0.0041305181630333,1,3,3,2,E:2N,5N,0.21738289560205779,0.7826171043979422,0.9329401018261623,4,-1.5849625007211563,0.7635633733202337
RN018,-0.8304246564234509,0.0055173288954938,0.8657166955209304,0.8196554770318021,0.9417631917631918,0.0,0.058236808236808234,22640,6216,45054,0.7638764458226079,0.002097921882681,0.8168278901332572,0.0057315382673428,1,2,1,2,E:2N,5N,0.23980992175658514,0.7601900782434149,1.1489744388381022,2,0.0,-0.09669282050778574
RN019,-0.4529468042865197,0.0007602614364405,0.6596996733924337,0.691694730351468,0.5051813471502591,0.0,0.4948186528497409,21083,386,105019,0.2709593515593373,0.0075974635942409,0.3789185534273072,0.005908626426799,4,3,3,2,E:2N,5N,0.01319529029638652,0.9868047097036134,0.730353037233005,7,0.41503749927884376,-0.483811342528097
RN020,-0.781676978413917,0.0051711013861499,0.8091314385797309,0.8462827459085069,0.8201354136002355,0.0,0.1798645863997645,17903,3397,75366,0.4560064334019826,0.0037928591178254,0.7325906581922874,0.0038124909433613,2,2,1,3,E:2N,5N,0.15532140268718292,0.8446785973128171,0.9691033139518854,3,1.0,-0.6839531260123005
RN021,-0.7155072784903357,0.0012436981769758,0.8063068194764064,0.8442104311669529,0.7261576203618522,0.0,0.2738423796381478,22126,6522,43889,0.4563964245085105,0.0044506774955465,0.530459474026865,0.0097791893750561,4,2,2,2,E:2N,5N,0.20226350629938075,0.7977364937006193,0.860161866701983,6,1.0,-0.216955047185039
RN022,-0.7333634677562747,0.0031777780757296,0.7830223272490222,0.8105794467999192,0.8522760646108664,0.0,0.14772393538913361,24765,3405,49088,0.7286242881014416,0.0051576736115774,0.3920784011264187,0.0055427783833984,1,3,2,2,E:2N,5N,0.1263057103064067,0.8736942896935933,1.0514405071280315,3,-1.0,0.8940329183114167
RN023,-0.5161774957507481,0.0040285874584704,0.6866285043299575,0.733962823389931,0.6246372138019993,0.0,0.3753627861980006,23617,3101,61317,0.5469324181745269,0.003705796565008,0.3704566861569704,0.0071363655843128,2,2,3,2,E:2N,5N,0.10051372528670022,0.8994862747132998,0.8510474834638178,5,-0.5849625007211563,0.5620577047951699
RN024,-0.8186575313466938,0.0012583803113933,0.8908252650991241,0.9193270261453139,0.8465423465423465,0.0,0.15345765345765347,21457,7722,43380,0.6907601197017564,0.0030045949421525,0.5815405067284531,0.0060437136163613,2,2,2,3,E:2N,5N,0.24890530403990405,0.7510946959600959,0.9208283042562673,4,0.0,0.24830510787102797
RN025,-0.8225321068482175,0.0042516036562833,0.8575571099698955,0.9002763248791079,0.7389885807504079,0.00012548625925461163,0.2608859329903376,20266,7969,45176,0.4863418627326433,0.0030118728926903,0.6614381276857751,0.0037359195477183,4,2,2,2,E:2N,5N,0.24401259633711775,0.7559874036628822,0.82084640052002,6,1.0,-0.44363543064684463
RN026,-0.8194354060088148,0.004482800655473,0.809776365168109,0.8510270590558957,0.8341124616001069,0.0,0.16588753839989315,20252,7487,52228,0.7729587433408857,0.0003258119543753,0.4173745200844134,0.002580320309908,1,3,3,3,E:2N,5N,0.2659710391822828,0.7340289608177172,0.9801244892558958,4,-1.5849625007211563,0.8890488829679477
RN027,-0.1739193322414265,0.0105724417091927,0.5770808627928592,0.5672575599582899,0.22048759623609923,0.11420017108639863,0.6653122326775022,19180,4676,62402,0.3890970595025591,0.0068924615991152,0.3522656186885953,0.0019358604853327,3,2,3,2,E:2N,5N,0.08655864327092604,0.913441356729074,0.38869044998238816,6,0.0,0.14346640366631325
RN028,-0.8051995569873567,0.0048604613733096,0.8125130671126908,0.8690639873083025,0.7485068259385665,0.0,0.25149317406143346,18910,4688,76528,0.7360730838457106,0.0023373032545679,0.4847819482983911,0.0037276643947826,1,2,3,2,E:2N,5N,0.17595146166574738,0.8240485383342526,0.8612793037908174,4,-1.5849625007211563,0.6025130383728543
RN029,-0.727088497052832,0.0080389418013696,0.7537087042037537,0.8078009933207742,0.6601752677702045,0.0,0.33982473222979553,23356,3081,59994,0.3109189818202051,0.0045710023028935,0.741656023871168,0.0064721845077051,4,2,1,2,E:2N,5N,0.09731591789866513,0.9026840821013349,0.8172498836084643,5,2.0,-1.2542115307546766
RN030,-0.8548460213393909,0.001057937193627,0.910698867055653,0.8993955490429526,0.860772104607721,0.0,0.13922789539227895,21838,8030,38219,0.5019880086179651,0.0020920706727456,0.8414359093896476,0.0049080550724406,4,2,1,2,E:2N,5N,0.26030956954016493,0.7396904304598351,0.9570562201732811,5,2.0,-0.7452004865408212
RN031,-0.7546611117959271,0.005483890098367,0.7784989050368306,0.8683372748772058,0.7845477386934674,0.0,0.21545226130653267,21988,3184,75345,0.7403100245979743,0.0027617697020029,0.384741735097143,0.0037140786683722,1,2,3,3,E:2N,5N,0.11569635496271595,0.8843036450372841,0.9035057706170827,4,-1.5849625007211563,0.9442392290100644
RN032,-0.7998949420389113,0.0025021378537662,0.8474198879809016,0.8800297692880179,0.7280597722960152,0.0009487666034155598,0.27099146110056926,20155,8432,43564,0.6729754608615673,0.003642395956922,0.4520577577357707,0.0022575058808803,2,3,3,2,E:2N,5N,0.25712012062322,0.74287987937678,0.8273126633943838,5,-0.5849625007211563,0.5740467876863953
RN033,-0.8210064513316923,0.0034500444292845,0.8816394912574624,0.8796715267303502,0.8629900076863951,0.0,0.13700999231360492,23868,5204,42379,0.8053312203422825,0.0056563314983726,0.5714147612632311,0.0043440806142265,1,2,2,4,E:2N,5N,0.17620747832228195,0.8237925216777181,0.9810366500028044,3,-1.0,0.49504395789862043
RN034,-0.6884842231566594,0.0090898053834012,0.7334484906835815,0.8167144753178919,0.6511202560585276,0.0,0.3488797439414723,23357,2187,70628,0.2506020289722961,0.0033968790346897,0.8253980847107082,0.001069925270668,5,2,1,2,E:2N,5N,0.06946341463414635,0.9305365853658537,0.7972434378674266,6,2.321928094887362,-1.7196919953252363
RN035,-0.8238669247614258,0.0016951526673464,0.8966354491848768,0.9277896809311483,0.8236430704373793,0.0,0.17635692956262075,17269,11386,46128,0.6037858835074391,0.0010205285137272,0.7080812957409911,0.0039300110997657,3,2,2,3,E:2N,5N,0.3692125984251968,0.6307874015748032,0.8877476084997568,5,0.5849625007211562,-0.22987798043788812
RN036,-0.7225064010538812,0.0036566544201794,0.7481583734341336,0.7818510158013544,0.4968814968814969,0.0,0.5031185031185031,22150,1924,77513,0.695434300430255,0.0025187465041746,0.4785751027299334,0.0027400114744933,1,2,3,2,E:2N,5N,0.052314764145780894,0.9476852358542192,0.6355194107821432,4,-1.5849625007211563,0.5391688814541318
RN037,-0.7372107047575512,0.003802737494181,0.764762394921942,0.8214480670934445,0.537521815008726,0.0,0.462478184991274,20151,4011,58290,0.2940276297120514,0.0066020840147838,0.8010233603731979,0.0062504779214977,4,3,1,2,E:2N,5N,0.11523865519268801,0.884761344807312,0.6543588530321294,5,2.0,-1.445892585626002
RN038,-0.6815737076545344,0.0010523440189656,0.7774070185962807,0.811200205823078,0.7157635467980296,0.0,0.28423645320197044,23321,4060,53344,0.4799612629271548,0.0043714191591991,0.540159459559305,0.0033691111255872,2,3,2,3,E:2N,5N,0.13315615835777125,0.8668438416422287,0.8823512884489294,4,0.0,-0.17046739329112068
RN039,-0.6453466688902547,0.0111429175841061,0.7577323211022072,0.7768103448275862,0.8172151898734177,0.0,0.1827848101265823,23200,3950,56904,0.413846524390068,0.0058553256682549,0.486255575703683,0.0070791455475238,2,2,2,4,E:2N,5N,0.15190588235294117,0.8480941176470588,1.0520137834348735,4,0.0,-0.2326189517487821
RN040,-0.5605366901882168,0.0017424303531241,0.7034242600116076,0.7433191324554609,0.5314401622718052,0.012373225152129817,0.4561866125760649,20656,4930,68920,0.617482713177421,0.0032660733433358,0.2825077307930703,0.0042620136309802,2,3,4,3,E:2N,5N,0.14576610659841993,0.8542338934015801,0.7149555810789637,6,-1.0,1.1281084008348137
RN041,-0.8112982910947176,0.0025700013004766,0.8435216026455153,0.8725246008737904,0.7857613711272248,0.0,0.21423862887277523,24491,4551,41731,0.7450341151338665,0.0047562054593347,0.4487801085501653,0.0067788981546189,1,2,3,2,E:2N,5N,0.14335538184004812,0.8566446181599519,0.9005607066440574,4,-1.5849625007211563,0.7312977558873782
RN042,-0.6611359747829723,0.0032948528838462,0.7292793964620188,0.7968544024728397,0.6615154536390827,0.0,0.33848454636091724,21999,2006,76880,0.354289877229266,0.0018921368403694,0.660333029607977,0.0022043603459347,3,3,1,3,E:2N,5N,0.07037174524049425,0.9296282547595057,0.8301584976957319,4,1.584962500721156,-0.8982635654539457
RN043,-0.7418289659949547,0.0056024224789181,0.841117305914325,0.8597235248542184,0.6273978315262719,0.0,0.3726021684737281,24523,4796,35693,0.5416786736594709,0.0061874895511428,0.4884119836982376,0.0046194755419144,3,2,3,3,E:2N,5N,0.12489623111406276,0.8751037688859372,0.7297669697158263,6,0.0,0.14933869303221428
RN044,-0.8252697346379495,0.002101613004599,0.9507155559319164,0.9572527141133896,0.9085714285714286,0.0,0.09142857142857143,13264,16100,47236,0.7817997080138145,0.0019588592789469,0.6838437898412786,0.0030908760514112,2,3,3,2,E:2N,5N,0.5353339432753889,0.46466605672461114,0.9491447923581499,5,-0.5849625007211563,0.1931322373061222
RN045,-0.8363332483480859,0.0052288919610791,0.8711816364234556,0.8272453005337665,0.9428775437343806,0.0,0.057122456265619424,21545,5602,39513,0.7748213813726145,0.0009354915904664,0.80773611272887,0.000730702984435,1,2,1,3,E:2N,5N,0.22860852629301018,0.7713914737069898,1.1397798731839326,2,0.0,-0.06002027570172701
RN046,-0.8325988549672901,0.003793134829059,0.8911037061897684,0.9012067907547556,0.8118609406952966,0.0,0.18813905930470348,19556,4890,83428,0.7894643230072272,0.0043640872000721,0.5100089114053196,0.0004582055984636,1,2,3,2,E:2N,5N,0.18384736500879875,0.8161526349912013,0.9008597682840002,4,-1.5849625007211563,0.630351614589251
RN047,-0.8481171586418655,0.0018939590299548,0.9000202037694461,0.9176933674473529,0.7098808689558515,0.0,0.29011913104414855,25405,4281,34647,0.5202510849320467,0.0058411861881868,0.6498214622807498,0.0018291827351453,4,2,2,2,E:2N,5N,0.1153189390202254,0.8846810609797746,0.7735490896381318,6,1.0,-0.32083532517494656
RN048,-0.3871204573275451,0.0042426565093665,0.6473172987974098,0.6591343734272773,0.41835127330007876,0.04279338409031242,0.5388553426096088,19870,7618,51888,0.5404091417945465,0.0033622337203949,0.2934158146214985,0.0036135676730561,3,3,3,2,E:2N,5N,0.19571358388602308,0.8042864161139769,0.634698007213298,6,0.0,0.8811054481668399
RN049,-0.8405360333696241,0.0020959235263959,0.9494400942999074,0.9531273895090993,0.9126634847827434,0.0,0.08733651521725655,13078,16133,47508,0.7773801491928033,0.0013101963780386,0.692568130463782,0.0016301713382326,2,3,2,2,E:2N,5N,0.5415425355842436,0.45845746441575635,0.957546173605192,4,0.0,0.16666426683920402
RN050,-0.8021702438011102,0.0008101191635642,0.9347452520698968,0.9462796766596652,0.880899541352271,0.0,0.11910045864772896,15711,13518,44809,0.739826365953059,0.0031994325663896,0.7104023673666382,0.0046813491878902,2,2,3,2,E:2N,5N,0.4447432306255836,0.5552567693744165,0.930908232608161,5,-0.5849625007211563,0.05855032680773256
RN051,-0.8337848101809088,0.0024771601501944,0.9316359874932412,0.9048230822761094,0.9177730192719487,0.0,0.08222698072805139,18681,9340,42537,0.8158165917283711,0.0027426033745115,0.7142974704793739,0.0023205008782068,1,2,2,2,E:2N,5N,0.33648675171736997,0.66351324828263,1.014312120512292,3,-1.0,0.19171983597760783
RN052,-0.7741165898882648,0.0044454658911771,0.840987834423112,0.8171896914446003,0.7441417412840541,0.0,0.2558582587159459,22816,5249,38387,0.4544351988497299,0.0041777411349795,0.7900283224493295,0.0027415598200594,2,2,1,2,E:2N,5N,0.1732073965677797,0.8267926034322203,0.9106107787147749,3,1.0,-0.7978297897845392
RN053,-0.7243115226199427,0.000612877073269,0.7874837592031182,0.8524018337651983,0.8211138196137259,0.0,0.17888618038627413,20068,5333,69270,0.5890810887505671,0.0065207750338626,0.3884087078906167,0.0010804330293703,2,2,2,3,E:2N,5N,0.20381661624389108,0.7961833837561089,0.9632942904248949,4,0.0,0.6008906934774038
RN054,-0.2213453586194856,0.0101607039387864,0.5767312119959856,0.5892238831179799,0.262,0.2005,0.5375,23682,2000,67756,0.4512471575564019,0.0026045636222736,0.3364326874786799,0.0064418871630302,4,2,2,2,E:2N,5N,0.036192844315513194,0.9638071556844868,0.44465271606707757,6,1.0,0.4235999610960891
RN055,-0.8380428844153195,0.0047903877985511,0.8727496113534928,0.8249823570924488,0.9438920454545454,0.0,0.056107954545454544,21255,5632,39882,0.782476810773701,0.0010778858651927,0.8022823025054899,0.0021319419938957,1,2,1,3,E:2N,5N,0.23263752133385848,0.7673624786661415,1.1441360379889571,2,0.0,-0.03606197584881753
RN056,-0.5924801084990129,0.007435637718098,0.7424563793717391,0.7629576306046895,0.6748841826604898,0.01671078755790867,0.3084050297816016,19448,6044,64591,0.3813988313077236,0.0061088183564281,0.5538047027780567,0.000848941833025,2,2,2,2,E:2N,5N,0.21562615636728868,0.7843738436327113,0.8845631206618955,4,0.0,-0.538076881867079
RN057,-0.4195170939390014,0.0105080512365736,0.6662820654665002,0.6355893472931987,0.5933211344922232,0.008234217749313814,0.39844464775846294,24069,2186,63269,0.3655505575540121,0.0046825900695315,0.4362561847699729,0.0046700607867035,3,2,2,2,E:2N,5N,0.07815607110575475,0.9218439288942453,0.9334976066213441,5,0.5849625007211562,-0.2551046321956641
RN058,-0.5793412121084516,0.0051281212430933,0.7171054389950554,0.7275731617167457,0.7582469368520264,0.0,0.24175306314797362,22997,2122,74830,0.3962208517017995,0.0041469238588148,0.4646437858565759,0.0035334719224333,2,2,2,2,E:2N,5N,0.08772695054795268,0.9122730494520473,1.0421590250290491,4,0.0,-0.22982030722224614
RN059,-0.848144927186205,0.0022895740023002,0.912652563914039,0.9066708424678985,0.8501677226984719,0.0,0.14983227730152815,15965,8049,47603,0.8250727808899013,0.0008892675528371,0.670872664898558,0.0004672185330307,1,2,2,2,E:2N,5N,0.3209963411201801,0.6790036588798198,0.9376806696290918,3,-1.0,0.29848242580511725
RN060,-0.8066890162280599,0.0068543839640885,0.8624823393415251,0.8880347426745869,0.8610667882379759,0.0,0.13893321176202417,20033,8774,46714,0.6692178970430658,0.0023465988610491,0.4613243133322093,0.0039434889059617,2,3,2,3,E:2N,5N,0.2980864075754587,0.7019135924245413,0.9696318700827078,4,0.0,0.5366946989517699
RN061,-0.8482323308192328,0.0028330024096469,0.923302415120756,0.9481656653457753,0.8602253656197555,0.0,0.13977463438024454,15646,12513,45712,0.622537478564965,0.001768160378229,0.8383104493972716,0.0021445089611557,3,3,1,2,E:2N,5N,0.42048517520215634,0.5795148247978437,0.9072521786644215,4,1.584962500721156,-0.42932391826877647
RN062,-0.7745361628291243,0.0033787245081864,0.9242554014477538,0.9525993883792049,0.8801243442782203,0.0,0.11987565572177968,10464,15441,72388,0.7688957147251795,0.0031085782815012,0.7197597693445542,0.0060438738681472,2,2,3,3,E:2N,5N,0.5768740979709652,0.4231259020290347,0.9239186535440708,5,-0.5849625007211563,0.09527247311066847
RN063,-0.6655533814151813,0.0038556554917042,0.7739883110157579,0.7996266618102349,0.771347918136909,0.0,0.22865208186309105,21964,4251,54068,0.5203858511639714,0.0050145983845458,0.4299556183291655,0.0027630000716294,2,2,2,2,E:2N,5N,0.1573265521543038,0.8426734478456962,0.9646350665580521,4,0.0,0.2753939899976921
RN064,-0.7218237963564776,0.0056861223337818,0.8211009174311926,0.8171103773979187,0.723829463266083,0.0,0.276170536733917,23927,5254,38150,0.533366543721502,0.006260274301121,0.4931734433064741,0.0084589718459786,2,2,2,3,E:2N,5N,0.16284148325768605,0.8371585167423139,0.8858404975483386,4,0.0,0.11303221760720426
RN065,-0.713130334861301,0.0066676217249155,0.763471248775341,0.8129740797617385,0.6561325966850828,0.0,0.3438674033149171,21489,4525,53076,0.3623086678240287,0.0003091456539973,0.6558691618875548,0.006043734190575,3,2,1,3,E:2N,5N,0.14526150985860364,0.8547384901413964,0.8070768958308956,4,1.584962500721156,-0.8561887219635311
RN066,-0.4431470051609779,0.0071665115925067,0.6847135458380053,0.6294113795586983,0.4663871229541458,0.05572839172189909,0.4778844853239551,15273,7393,56187,0.3873870845368914,0.0083541487755992,0.4920044373254609,0.0044313788886686,2,2,2,2,E:2N,5N,0.2639920373631422,0.7360079626368579,0.7409893403597908,4,0.0,-0.3448954717330103
RN067,-0.7352589824642544,0.0014539305448377,0.7994419253575166,0.8424411243352747,0.6181102362204725,0.0013693940431359123,0.38052036973639164,19745,5842,48739,0.5570262057654496,0.0019343409702165,0.4677272958352014,0.0039822634856916,2,2,3,2,E:2N,5N,0.17836502840207458,0.8216349715979254,0.7337132748691373,5,-0.5849625007211563,0.2520775773159698
