CC AB,STD AB,F1,M,B1,B2,B3,Mo,Bi,Ti,BiC A,STD A,BiC B,STD B,inA,OutA,inB,OutB,Mean Connectivity,InABR,BCABR
-0.685252203453255,0.0057598914658703,0.7776086354829781,17650,2218,0,552,21426,2770,57808,0.5466067672386951,0.0083466938202013,0.3878435559187729,0.0058084548081178,2,2,2,3,5N & E:2N,0.0,0.49502848994688364
-0.803532941103987,0.0043494722596052,0.8167612805056476,17646,3180,0,837,20358,4017,68348,0.4843704663388409,0.0052157951003972,0.7645620185427929,0.0042893306636756,2,2,1,2,5N & E:2N,1.0,-0.6585226307564588
-0.556163251687345,0.0167779235196747,0.7103842384171969,13684,1570,0,416,19659,1986,60197,0.4261708197217269,0.0039685649885021,0.4068226863653457,0.0055175926811809,2,3,2,2,5N & E:2N,0.0,0.06703168097981241
-0.810982766039666,0.0040457321473058,0.8484777517564402,17998,4421,0,1125,21789,5546,42700,0.7973046992231213,0.0034413473628162,0.5112317689119735,0.0025104429344756,1,2,2,3,5N & E:2N,-1.0,0.6411536813316479
-0.8166921272949373,0.0020317271796813,0.8976734656710982,15129,9907,0,2788,16480,12695,43928,0.7448476824735994,0.0050270206208081,0.4638913726914969,0.002360514629716,2,2,5,2,5N & E:2N,-1.3219280948873622,0.683158416367872
-0.4966894618988708,0.0013922399742764,0.678311611526696,16910,1117,0,621,22933,1738,77802,0.4731849777576115,0.003183554600321,0.3578477303722485,0.0071059189778545,2,2,3,2,5N & E:2N,-0.5849625007211563,0.4030584435696906
-0.5433589788672527,0.0134535343340746,0.7128164428823635,15344,3221,7,2594,20341,5822,61741,0.3477725894608858,0.0038970781804472,0.4797502512576117,0.0052884691791228,3,2,3,2,5N & E:2N,0.0,-0.46413933437670407
-0.7178962452856091,0.0038073709393725,0.7666960021929509,19342,2347,0,782,22669,3129,69313,0.4482205962277397,0.004218438314727,0.6897329353480042,0.0061118437717438,3,2,1,2,5N & E:2N,1.584962500721156,-0.6218289145758951
-0.832596818875095,0.0013650242643575,0.8686236648498032,16988,4776,0,266,20687,5042,40913,0.7734961609072474,0.0051812782703596,0.8118458433133511,0.0061514239939302,1,3,1,3,5N & E:2N,0.0,-0.0698116772782415
-0.7340720243587154,0.0009533916289448,0.7599600488292088,16601,2800,0,2250,20520,5050,54066,0.3865319735366022,0.0037486067415777,0.6542819986050675,0.0011152088529936,4,2,1,2,5N & E:2N,2.0,-0.759324820710204
